name,id,stripped_tweet,time
tsegkanews,433262279,"Μήνυση,με αποδεικτικά έγγραφα, κατά των ανακριτριών κατέθεσε ο Η. Κασιδιάρης. (βίντεο) via",1389956527
PatrasTimes,365681022,"O Ηλίας Κασιδιάρης μήνυσε ανακρίτριες και εισαγγελέα: Τι απαντά το Εφετείο για την ημερομηνία των ενταλμάτων",1389954389
GreekBackstage,428990623,"Μήνυση στις ανακρίτριες Κλάππα και Δημητροπούλου κατέθεσε ο Κασιδιάρης",1389954376
bnogr,16218491,"Skai News Μηνύσεις της ΧΑ κατά ανακριτριών και εισαγγελέα - τι απαντούν οι δικαστές: Ο Ηλίας Κασιδιάρης έκανε...",1389953950
EPGreek,272142345,"Κασιδιάρης vs τραγικού υπουργού της ΝΔ",1389953893
g_akis,470321789,"Όταν ο κυρίαρχος Λαός έχει θετική άποψη με ποσοστά όπως:Κασιδιάρης 19% και Πάντζας 27% μάλλον πρέπει να φοβόμαστε για το επίπεδό μας.",1389953796
SarakisLawFirm,808940606,"Τώρα Ο Κασιδιάρης Μυνύει Ανακριτές Και Εισαγγελείς: Δικαστικό Σκάνδαλο Οι Προφυλακίσεις Των Βουλευτών Της Χ.Α.",1389953020
mikromeseos,712315932,"- Μηνύσεις κατά των δυο Ανακριτριών και του Εισαγγελέα κατέθεσε η Χρυσή Αυγή - Η. Κασιδιάρης: ΠΡΟΑΠΟΦΑΣΙΣΜΕΝΗ η...",1389952870
Vagelisgiakoumi,411368143,"Ο Ηλ. Κασιδιάρης επιχειρεί να πολιτικοποιήσει τις δικαστικές διώξεις μελών του κόμματος του",1389952517
News247gr,19284221,"Μηνύσεις Κασιδιάρης σε ανακριτές και εισαγγελείς που χειρίζονται την υπόθεση της Χρυσής Αυγής",1389952444
Defencenetgr,266174332,"Η.Κασιδιάρης: Μηνύει ανακρίτριες και εισαγγελέα - Ο εκπρόσωπος Τύπου του Λαϊκού Συνδέσμου, Ηλίας Κασιδιάρης, κατέθεσε σήμερα μήνυση σε...",1389951680
news_greece,1903883623,"Μηνύει εισαγγελείς και ανακριτές ο Κασιδιάρης: Μήνυση σε βάρος των ανακριτριών της υπόθεσης της Χρυσής Αυγής, ...",1389950940
AnnaS739,411879221,"Χαχαχαχα! Αυτο! Είναι δημοκρατία κ ισονομία ρε! "" Μήνυση κατά των ανακριτών υπέβαλε ο Ηλίας Κασιδιάρης """,1389950062
Orfeas_Thraki,2171022758,"Μήνυση κατά των ανακριτριών υπέβαλε ο Κασιδιάρης (Βίντεο): Μήνυση κατά των ανακριτριώ...",1389949950
ant1iwo,342637479,"Μηνύει εισαγγελείς και ανακριτές ο Κασιδιάρης - Ant1 internet world",1389949817
livestergr,338891901,"Ο Η. Κασιδιάρης μηνύει τις ανακρίτριες για την υπόθεση «Χ. Αυγή»",1389949643
gazakas,20638122,"Να μηνύσει την για τη φώτο: το logo τον σημαδεύει στην καρδιά "" Ο Κασιδιάρης μήνυσε ανακρίτριες/ εισαγγελέα""",1389949208
Amaliadanews,401388445,"Ο Κασιδιάρης μηνύει ανακριτές και εισαγγελείς: Στην Ευελπίδων βρέθηκε νωρίτερα ο Ηλίας Κασιδιάρης καταθέτοντας...",1389949036
Gath___,14788231,"Μήνυση σε βάρος των ανακριτριών της υπόθεσης της Χρυσής Αυγής και του αρμόδιου εισαγγελέα κατέθεσε ο Ηλίας Κασιδιάρης",1389948995
bnogr,16218491,"Troktiko News Μήνυση κατά ανακριτριών και εισαγγελέα κατέθεσε ο Κασιδιάρης: Μήνυση σε βάρος των ανακριτριών τη...",1389948981
Kateveio,956133162,"Στα δικαστήρια ο Κασιδιάρης",1389948908
Makeleio_gr,521308614,"Μηνύσεις κατά ανακριτριών και εισαγγελέα από την Χρυσή Αυγή – Κασιδιάρης: «Δεν υφίσταται θέμα ανθρωπίνου λάθους»",1389948678
AngelEvi,73170367,"Ο Κασιδιάρης κατηγορείται για εγκληματική οργάνωση, έχει 50 φωτογραφίες με όπλα και είναι ελεύθερος.Αν είχαν φωτο του",1389948501
axiaplus,538154104,"Ο Κασιδιάρης μοίρασε μηνύσεις! - AxiaPlus - 24 Hours News",1389948361
Stratigos_,2236318519,"Ο εκπρόσωπος Τύπου της Χρυσής Αυγής, Ηλίας Κασιδιάρης, κατέθεσε σήμερα μήνυση σε βάρο...",1389948361
CyprusNewsEu,219110145,"Η.Κασιδιάρης: Μηνύει τους ανακριτές της υπόθεσης της Χ.Α.",1389948124
